route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
6,7852,9462960,Bridgeport,6949,1,,11,1,0
6,7852,9462961,Waterbury,6954,0,,22,1,0
6,7852,9462962,Bridgeport,6961,1,,11,1,0
6,7852,9462963,Waterbury,6966,0,,22,1,0
6,7852,9462964,Bridgeport,6971,1,,11,1,0
1,7852,9462965,Grand Central,8700,1,,1,1,0
1,7852,9462966,Croton-Harmon,8701,0,,12,1,0
1,7852,9462967,Grand Central,8704,1,,1,1,0
1,7852,9462968,Croton-Harmon,8705,0,,12,1,0
1,7852,9462969,Croton-Harmon,8707,0,,12,1,0
1,7852,9462970,Grand Central,8708,1,,1,1,0
1,7852,9462971,Croton-Harmon,8711,0,,12,1,0
1,7852,9462972,Grand Central,8712,1,,1,1,0
1,7852,9462973,Croton-Harmon,8715,0,,12,1,0
1,7852,9462974,Grand Central,8716,1,,1,1,0
1,7852,9462975,Grand Central,8718,1,,1,1,0
1,7852,9462976,Croton-Harmon,8719,0,,12,1,0
1,7852,9462977,Grand Central,8720,1,,1,1,0
1,7852,9462978,Grand Central,8722,1,,1,1,0
1,7852,9462979,Croton-Harmon,8723,0,,12,1,0
1,7852,9462980,Grand Central,8724,1,,1,1,0
1,7852,9462981,Croton-Harmon,8725,0,,12,1,0
1,7852,9462982,Grand Central,8726,1,,1,1,0
1,7852,9462983,Croton-Harmon,8727,0,,12,1,0
1,7852,9462984,Grand Central,8728,1,,1,1,0
1,7852,9462985,Croton-Harmon,8729,0,,12,1,0
1,7852,9462986,Grand Central,8730,1,,1,1,0
1,7852,9462987,Croton-Harmon,8731,0,,12,1,0
1,7852,9462988,Grand Central,8732,1,,1,1,0
1,7852,9462989,Croton-Harmon,8733,0,,12,1,0
1,7852,9462990,Grand Central,8734,1,,1,1,0
1,7852,9462991,Croton-Harmon,8735,0,,12,1,0
1,7852,9462992,Grand Central,8736,1,,1,1,0
1,7852,9462993,Croton-Harmon,8737,0,,12,1,0
1,7852,9462994,Grand Central,8738,1,,1,1,0
1,7852,9462995,Croton-Harmon,8739,0,,12,1,0
1,7852,9462996,Grand Central,8740,1,,1,1,0
1,7852,9462997,Croton-Harmon,8741,0,,12,1,0
1,7852,9462998,Grand Central,8742,1,,1,1,0
1,7852,9462999,Croton-Harmon,8743,0,,12,1,0
1,7852,9463000,Grand Central,8744,1,,1,1,0
1,7852,9463001,Croton-Harmon,8745,0,,12,1,0
1,7852,9463002,Grand Central,8746,1,,1,1,0
1,7852,9463003,Croton-Harmon,8747,0,,12,1,0
1,7852,9463004,Grand Central,8748,1,,1,1,0
1,7852,9463005,Croton-Harmon,8749,0,,12,1,0
1,7852,9463006,Grand Central,8750,1,,1,1,0
1,7852,9463007,Croton-Harmon,8751,0,,12,1,0
1,7852,9463008,Grand Central,8752,1,,1,1,0
1,7852,9463009,Croton-Harmon,8753,0,,12,1,0
1,7852,9463010,Grand Central,8754,1,,1,1,0
1,7852,9463011,Croton-Harmon,8755,0,,12,1,0
1,7852,9463012,Grand Central,8756,1,,1,1,0
1,7852,9463013,Croton-Harmon,8757,0,,12,1,0
1,7852,9463014,Grand Central,8758,1,,1,1,0
1,7852,9463015,Croton-Harmon,8759,0,,12,1,0
1,7852,9463016,Grand Central,8760,1,,1,1,0
1,7852,9463017,Croton-Harmon,8761,0,,12,1,0
1,7852,9463018,Grand Central,8762,1,,1,1,0
1,7852,9463019,Croton-Harmon,8763,0,,12,1,0
1,7852,9463020,Grand Central,8764,1,,1,1,0
1,7852,9463021,Croton-Harmon,8767,0,,12,1,0
1,7852,9463022,Grand Central,8768,1,,1,1,0
1,7852,9463023,Croton-Harmon,8769,0,,12,1,0
1,7852,9463024,Croton-Harmon,8771,0,,12,1,0
1,7852,9463025,Grand Central,8772,1,,1,1,0
1,7852,9463026,Grand Central,8776,1,,1,1,0
1,7852,9463027,Croton-Harmon,8797,0,,12,1,0
1,7852,9463028,Grand Central,8798,1,,1,1,0
1,7852,9463029,Croton-Harmon,8799,0,,12,1,0
1,7852,9463031,Poughkeepsie,8801,0,,12,1,0
1,7852,9463032,Grand Central,8802,1,,1,1,0
1,7852,9463033,Poughkeepsie,8805,0,,12,1,0
1,7852,9463034,Poughkeepsie,8807,0,,12,1,0
1,7852,9463035,Grand Central,8808,1,,1,1,0
1,7852,9463036,Poughkeepsie,8811,0,,12,1,0
1,7852,9463037,Grand Central,8812,1,,1,1,0
1,7852,9463038,Poughkeepsie,8815,0,,12,1,0
1,7852,9463039,Grand Central,8816,1,,1,1,0
1,7852,9463040,Poughkeepsie,8819,0,,12,1,0
1,7852,9463041,Grand Central,8820,1,,1,1,0
1,7852,9463042,Poughkeepsie,8823,0,,12,1,0
1,7852,9463043,Grand Central,8824,1,,1,1,0
1,7852,9463044,Grand Central,8826,1,,1,1,0
1,7852,9463045,Poughkeepsie,8827,0,,12,1,0
1,7852,9463046,Grand Central,8828,1,,1,1,0
1,7852,9463047,Poughkeepsie,8831,0,,12,1,0
1,7852,9463048,Grand Central,8832,1,,1,1,0
1,7852,9463049,Poughkeepsie,8835,0,,12,1,0
1,7852,9463050,Grand Central,8836,1,,1,1,0
1,7852,9463051,Poughkeepsie,8839,0,,12,1,0
1,7852,9463052,Grand Central,8840,1,,1,1,0
1,7852,9463053,Poughkeepsie,8843,0,,12,1,0
1,7852,9463054,Grand Central,8844,1,,1,1,0
1,7852,9463055,Poughkeepsie,8845,0,,12,1,0
1,7852,9463056,Grand Central,8846,1,,1,1,0
1,7852,9463057,Poughkeepsie,8847,0,,12,1,0
1,7852,9463058,Grand Central,8848,1,,1,1,0
1,7852,9463059,Poughkeepsie,8849,0,,12,1,0
